id,composition,energyperatom,volume,num_sites
icsd_055644,Ag1Nb1O3,-6.46816,486.20275,40
icsd_055647,Ag1Nb1O3,-6.46646,245.86423,20
icsd_055649,Ag1Nb1O3,-6.44974,62.08973,5
icsd_055691,F4Li1Y1,-6.24313,132.6047,12
icsd_055720,La1O9Sb3,-6.56025,344.53691,26
icsd_055943,Au2Si2Y1,-4.48414,91.07486,5
icsd_055967,La1Mn1O3,-7.96698,118.3653,10
icsd_056002,O2Pb1,-5.39897,84.32136,6
icsd_056017,Co1S2,-4.70372,179.40614,12
icsd_056021,As2Pt1,-4.80746,208.52786,12
icsd_056025,Cu2Se1,-2.67289,47.85043,3
icsd_056038,Ge1Te1,-3.97507,53.50674,2
icsd_056081,Hg1In2S4,-3.63469,315.97893,14
icsd_056094,Ca1O3Zr1,-7.8123,64.0,5
icsd_056095,Ca1O3Sn1,-6.26327,60.23629,5
icsd_056101,C1O3Pb1,-6.86872,266.52126,20
icsd_056103,O4Rb2S1,-5.51784,483.5407,28
icsd_056107,Ca1O4S1,-6.47561,151.78987,12
icsd_056117,Al2Fe1O4,-7.38867,133.84683,14
icsd_056125,Co3S4,-4.86011,206.32342,14
icsd_056142,Fe1Te1,-4.78803,71.10406,4
icsd_056144,Be1O1,-7.1259,27.38524,4
icsd_056147,Cl2Mg1,-3.60488,70.84768,3
icsd_056160,C2Ba1,-6.65872,68.3754,3
icsd_056167,As2Cd3,-2.3409,248.85819,10
icsd_056201,Hg1K1Sb1,-2.16343,202.66385,6
icsd_056210,Hg1Se1,-1.93437,38.49766,2
icsd_056216,Hg1Te1,-1.75287,67.36524,2
icsd_056218,Bi1I1O3Te1,-4.928,500.4565,24
icsd_056258,F6K1P1,-4.99124,94.85603,8
icsd_056261,Au2Pb1,-2.46312,124.52788,6
icsd_056263,Ag1Fe1S2,-4.17047,164.98334,8
icsd_056272,Au1Pb2,-3.12991,152.33102,6
icsd_056278,Bi1Pb1Pd2,-3.72032,326.94925,16
icsd_056279,Bi1Pd1,-3.81645,334.34177,16
icsd_056280,Bi2Pd1,-3.90082,73.37371,3
icsd_056283,Mg1O4V2,-7.54678,147.38362,14
icsd_056323,In5K10Sb9,-2.96735,3317.40383,96
icsd_056324,In4Se4Sn1,-3.6726,2045.48115,72
icsd_056327,C6Cr1K3N6,-7.28446,1211.55113,64
icsd_056379,Mn1S4Sb2,-5.0176,628.68512,28
icsd_056382,Ge1O4Sr2,-6.50027,413.15959,28
icsd_056396,C1Ga1Y3,-6.16986,114.72041,5
icsd_056402,C1La3Tl1,-5.00769,136.27285,5
icsd_056405,C1Sn1Y3,-6.5074,115.21693,5
