id,composition,energyperatom,volume,num_sites
Mg1Si1O3_sg31_icsd_247317_2,Mg1Si1O3,-5.1978,207.66483,20
Na2Hg2Cl5I1_sg15_icsd_249341_2,Na2Hg2Cl5I1,-1.655,1929.91,40
Li4O1S1_sg52_icsd_410194_1,Li4O1S1,-4.10366,341.80834,24
Na2Zr1P2_sg70_icsd_001055_2,Na2Zr1P2,-4.37952,1486.09014,40
K1Hg1B1O3_sg12_icsd_171216_6,K1Hg1B1O3,-2.39161,632.54926,24
Na1Y1Cl1I3_sg33_icsd_098000_3,Na1Y1Cl1I3,-2.75813,1399.62698,24
Li1Zn2O1P1_sg62_icsd_172156_5,Li1Zn2O1P1,-2.77872,302.03688,20
K1Ge1Br1S2_sg129_icsd_171430_2,K1Ge1Br1S2,-2.12875,297.26575,10
Li2W1S4_sg71_icsd_614775_1,Li2W1S4,-3.44271,284.72418,14
Zn1Hg1Si1F5P1_sg62_icsd_081588_5,Zn1Hg1Si1F5P1,-2.66674,1123.11038,36
Zn1Sb1F1N2_sg6_icsd_100014_3,Zn1Sb1F1N2,-4.11758,508.61719,30
Mg3La1N3_sg176_icsd_603622_1,Mg3La1N3,-4.35288,228.49781,14
Na1Hf1Sn1Cl1O4_sg15_icsd_040522_16,Na1Hf1Sn1Cl1O4,-3.92714,643.06333,32
Na2O1_sg107_icsd_087138_1,Na2O1,-3.36345,336.78288,24
Na1La1Sn1S4_sg74_icsd_072846_6,Na1La1Sn1S4,-4.1686,945.49938,28
Li3Sc1Cl6_sg63_icsd_030712_1,Li3Sc1Cl6,-3.337,2408.35,40
Na2O1_sg87_icsd_024721_1,Na2O1,-3.71831,87.44325,6
Mg1Ti1Al1N3_sg15_icsd_246300_5,Mg1Ti1Al1N3,-3.52151,1749.82273,48
Zn1Y1Hf1I3O3_sg4_icsd_171662_4,Zn1Y1Hf1I3O3,-2.94347,1316.06681,18
K1Y1Sb1N3_sg63_icsd_078752_4,K1Y1Sb1N3,-4.01968,482.36193,24
Na1Sc1Zn1O1S2_sg62_icsd_261212_12,Na1Sc1Zn1O1S2,-2.73176,1295.93503,24
Mg1Ge1Br4S1_sg82_icsd_181149_5,Mg1Ge1Br4S1,-2.45677,526.97813,14
Mg1Sb1I4P1_sg14_icsd_073694_6,Mg1Sb1I4P1,-2.09878,1558.33713,28
Na1Sb1O3_sg26_icsd_016834_2,Na1Sb1O3,-4.44764,134.5034,10
Zn1S1_sg14_icsd_027659_1,Zn1S1,-2.97398,177.05905,8
Li2Ge1N2_sg70_icsd_040618_2,Li2Ge1N2,-4.2469,432.30105,40
Na1Hf1Sn1Cl1O4_sg4_icsd_002055_20,Na1Hf1Sn1Cl1O4,-4.12126,670.96847,16
Mg2Br1N1_sg63_icsd_410733_2,Mg2Br1N1,-2.37765,664.77789,32
Na2Cd1Hg1Cl3P1_sg190_icsd_421141_2,Na2Cd1Hg1Cl3P1,-1.68861,984.91632,16
Na5Br1I4_sg87_icsd_020452_1,Na5Br1I4,-2.721,662.96,20
Li1Cd1B1I2S2_sg4_icsd_032660_2,Li1Cd1B1I2S2,-0.92366,1079.68862,14
Zn1Hf1Cd1O4_sg4_icsd_603183_2,Zn1Hf1Cd1O4,-5.37021,188.0346,14
Zn1B1Sn1S3P1_sg187_icsd_262231_18,Zn1B1Sn1S3P1,-1.90649,434.12039,7
Zn1I2_sg180_icsd_182116_1,Zn1I2,-1.06061,288.91879,9
Zn1Sc2S4_sg62_icsd_038109_1,Zn1Sc2S4,-5.04297,578.88411,28
Mg2B1Sb1N4_sg34_icsd_082144_2,Mg2B1Sb1N4,-5.74557,351.0461,32
Na1Sc1Cd1N1P1_sg11_icsd_094400_45,Na1Sc1Cd1N1P1,-1.48592,541.59563,10
K4F3Cl1_sg62_icsd_180319_1,K4F3Cl1,-3.46857,1381.23627,32
K1Zr1Ge1Br1O4_sg15_icsd_056862_13,K1Zr1Ge1Br1O4,-4.86993,723.50883,32
Li1Br1_sg12_icsd_017013_2,Li1Br1,-3.31529,84.13049,4
Na1Ti1B1S4_sg34_icsd_010456_4,Na1Ti1B1S4,-4.5352,497.58168,28
K1Sn1I5_sg71_icsd_078012_2,K1Sn1I5,-2.31122,736.71944,14
K1Br1_sg223_icsd_181465_2,K1Br1,-3.03523,763.43027,12
Li1Br1_sg216_icsd_028389_2,Li1Br1,-3.33812,206.30131,8
Mg1Sb1I4P1_sg2_icsd_073692_6,Mg1Sb1I4P1,-2.07497,1469.94389,28
K1Y1O2_sg194_icsd_042927_1,K1Y1O2,-6.6079,148.30985,8
K1Hf1Sn1N3_sg63_icsd_249698_2,K1Hf1Sn1N3,-6.40188,413.8422,24
Na2Zr1Ge1O5_sg46_icsd_246124_1,Na2Zr1Ge1O5,-6.48299,503.63353,36
Zn3Al2N4_sg189_icsd_053288_1,Zn3Al2N4,-3.61206,103.90279,9
Li1F1_sg42_icsd_089239_1,Li1F1,-4.59611,332.4341,24
Li1Sc1Cl4_sg63_icsd_086246_1,Li1Sc1Cl4,-4.02354,765.97137,24
Na1Zn1Sb1Br6O1_sg12_icsd_172413_13,Na1Zn1Sb1Br6O1,-2.26714,1017.69796,40
K3Hf2O1P3_sg62_icsd_035499_2,K3Hf2O1P3,-2.603,1379.62,36
Zn1Cd1Ge1F5P1_sg14_icsd_181192_3,Zn1Cd1Ge1F5P1,-2.66664,1479.80042,36
Li1Sc1Sb1P3_sg9_icsd_031194_5,Li1Sc1Sb1P3,-4.52002,600.34428,24
Li3P1_sg194_icsd_041548_1,Li3P1,-3.236,109.94,8
Na1Zn1Cd3N3_sg161_icsd_033581_1,Na1Zn1Cd3N3,-1.69136,1100.92722,48
Na2Ti2S5_sg63_icsd_280533_1,Na2Ti2S5,-4.42247,819.70514,36
Mg1Ti1W1O5S1_sg85_icsd_085758_14,Mg1Ti1W1O5S1,-4.9262,267.684,18
K1Ge1P1Br1N3_sg174_icsd_248042_22,K1Ge1P1Br1N3,-4.68317,149.75588,7
Li1Zn2O1P1_sg12_icsd_415307_2,Li1Zn2O1P1,-2.6517,287.43221,20
Li1F1_sg25_icsd_020375_2,Li1F1,-4.58017,71.62707,8
Li1Hg1Sb1I5P1_sg99_icsd_087466_5,Li1Hg1Sb1I5P1,-1.88079,391.52616,9
Zn2Cd1B1I1S4_sg62_icsd_167006_2,Zn2Cd1B1I1S4,-2.35344,823.16883,36
Na1La1Cl4_sg14_icsd_406966_1,Na1La1Cl4,-3.95118,990.67232,24
Mg1Ti2S5_sg15_icsd_202394_1,Mg1Ti2S5,-5.20849,656.5101,32
Zn1Ge1O3_sg26_icsd_016834_2,Zn1Ge1O3,-4.80433,118.84458,10
Mg3P2_sg220_icsd_016511_1,Mg3P2,-1.407,991.45,40
K1Y1Sb1N3_sg45_icsd_169995_4,K1Y1Sb1N3,-4.29218,958.26025,48
Li3La1S3_sg19_icsd_014305_2,Li3La1S3,-3.40059,595.22276,28
Zn2B1F7_sg173_icsd_075116_1,Zn2B1F7,-3.682,395.51,20
Na1Sc1S2_sg51_icsd_183794_1,Na1Sc1S2,-4.60766,219.22318,8
Li1Sc1Cl4_sg13_icsd_033953_2,Li1Sc1Cl4,-4.31143,627.3081,24
K2O1_sg55_icsd_170516_1,K2O1,-3.22689,3105.28854,48
