id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy
K1Sc1Cd2I8_icsd_166610_1,KSc(CdI4)2,False,24,1147.21,-2.5663,-2.5179,-2.617,-0.3943,-0.4451,0.0366
Li2Zn2Al1Br9_icsd_075583_1,Li2AlZn2Br9,False,28,1002.84,-2.6742,-2.7009,-2.913,-0.1229,-0.3617,0.0367
Na1Sc2Al1F8Cl2_icsd_422132_1,NaSc2Al(ClF4)2,False,28,418.1,-5.035,-4.9549,-5.738,-0.461,-1.164,0.0367
K2Y1Cd1Br7_icsd_093723_2,K2YCdBr7,False,44,1635.32,-3.3919,-3.389,-3.4,-0.7597,-0.7678,0.0367
Na1Al1Br3I1_icsd_001384_1,NaAlIBr3,False,12,457.05,-3.038,-3.0149,-3.107,-0.532,-0.6006,0.0367
K1Y2Hg1Cl2Br7_icsd_071263_3,KY2HgBr7Cl2,False,26,998.84,-3.142,-3.0134,-3.735,-0.224,-0.8172,0.0367
Na1Sc1Hg2F8_icsd_201623_1,NaScHg2F8,False,24,368.05,-4.0437,-4.1062,-4.31,-0.6966,-0.9629,0.037
Na2Al1Br4I1_icsd_202983_1,Na2AlIBr4,False,32,1234.99,-3.065,-3.0521,-3.085,-0.42,-0.4409,0.0371
K2Y2Br7I1_icsd_079478_1,K2Y2IBr7,False,24,982.2,-3.925,-3.9191,-3.989,-1.107,-1.1712,0.0371
K2Al1Cl1Br4_icsd_002361_1,K2AlBr4Cl,False,32,1327.14,-3.25,-3.2469,-3.322,-0.387,-0.4595,0.0371
K1Sc1Zn1Br6_icsd_088790_2,KScZnBr6,False,9,307.0,-3.3626,-3.3545,-3.378,-0.8423,-0.8576,0.0373
Li1Sc1Cd1Br6_icsd_164941_2,LiScCdBr6,False,18,525.92,-3.3617,-3.333,-3.356,-0.8611,-0.8554,0.0374
Na1Sc1Y1F6Cl1_icsd_159097_19,NaYScClF6,False,20,299.01,-5.845,-5.7966,-6.057,-0.317,-0.5289,0.0375
Na1Hg2Al1Br8_icsd_425174_1,NaAl(HgBr4)2,False,48,2225.04,-2.2558,-2.22,-2.424,-0.2575,-0.4256,0.0378
Na1Sc1Hf1Br6S1_icsd_159097_20,NaHfScSBr6,False,20,737.67,-3.788,-3.69,-4.396,-0.106,-0.7143,0.0379
Na3Al2Br9_icsd_015280_1,Na3Al2Br9,False,28,1077.62,-3.1702,-3.1573,-3.194,-0.7328,-0.7566,0.0379
K1Al3S5_icsd_130022_1,KAl3S5,False,36,903.36,-4.8395,-4.7767,-4.797,-0.1153,-0.0728,0.038
Na1Y1La1Br7_icsd_060952_2,NaLaYBr7,False,40,1677.51,-4.0236,-4.0063,-4.111,-0.4428,-0.5302,0.038
Li1Sc2Ti1I11_icsd_081223_1,LiSc2TiI11,False,15,599.98,-3.1462,-3.1287,-3.264,-0.2664,-0.3843,0.0382
Na1Hf1Zn1Br6I1_icsd_159098_20,NaHfZnIBr6,False,20,827.35,-3.132,-3.0584,-3.414,-0.288,-0.5702,0.0382
K1Sc1Hg1I6_icsd_152300_3,KScHgI6,False,18,810.7,-2.7073,-2.6993,-2.705,-0.6059,-0.6036,0.0386
Na1Hf1Hg1Cl1Br6_icsd_159098_20,NaHfHgBr6Cl,False,20,737.58,-3.067,-3.0448,-3.339,-0.321,-0.5924,0.0387
K1Y2Cd1Cl2Br7_icsd_071263_3,KY2CdBr7Cl2,False,26,1002.27,-3.265,,-3.875,-0.205,-0.8152,0.0388
Na1Sc1B1Br7_icsd_408562_5,NaScBBr7,False,20,740.06,-3.3235,-3.2445,-3.645,-0.1689,-0.4904,0.0389
Li2Sc1Br4I1_icsd_000484_1,Li2ScIBr4,False,16,496.97,-3.537,-3.4851,-3.665,-0.622,-0.7505,0.039
K1Sc1La1F1Br6_icsd_159097_19,KLaScBr6F,False,20,642.06,-3.953,-3.9151,-4.349,-0.149,-0.5453,0.039
K1Hf1Zn2Br9_icsd_281502_1,KHfZn2Br9,False,26,1118.9,-2.9199,-2.8968,-3.258,-0.2686,-0.6067,0.0392
Li2Sc1I5_icsd_065219_1,Li2ScI5,False,16,549.3,-3.2516,-3.2471,-3.28,-0.1766,-0.205,0.0393
Li2Al1Br5_icsd_092633_1,Li2AlBr5,False,32,1102.14,-3.2813,-3.2634,-3.293,-0.6373,-0.649,0.0394
Na1Y1Cl1Br3_icsd_186409_1,NaYBr3Cl,False,12,376.01,-4.107,-4.0851,-4.118,-0.398,-0.4095,0.0396
Na2Y2F1Br7_icsd_079478_1,Na2Y2Br7F,False,24,866.13,-3.8534,-3.8796,-4.261,-0.264,-0.6716,0.0397
Na1Sc2Sn1I11_icsd_078867_1,NaSc2SnI11,False,15,775.01,-2.9765,-2.9155,-3.055,-0.5467,-0.6252,0.0398
K2Sc1Hg1Br7_icsd_093723_1,K2ScHgBr7,False,44,1586.59,-3.1006,-3.0966,-3.132,-0.6854,-0.7168,0.04
Li1Y2Cd1Br7I2_icsd_071263_3,LiY2CdI2Br7,False,26,1021.99,-3.114,-3.0215,-3.656,-0.279,-0.8211,0.04
K1Sc1Cd2Br7I1_icsd_166998_2,KScCd2IBr7,False,24,975.6,-2.596,-2.4981,-3.007,-0.162,-0.5722,0.0401
K3Hf1Hg1Br9_icsd_039809_2,K3HfHgBr9,False,28,1093.31,-2.9686,-2.8598,-3.286,-0.3016,-0.6191,0.0401
Na1Sc1Al1F7_icsd_201526_1,NaScAlF7,False,40,509.23,-5.8156,-5.8127,-5.869,-1.1063,-1.1597,0.0402
K4Al2S5_icsd_154372_1,K4Al2S5,False,22,608.02,-4.2093,-4.1903,-4.211,-0.1897,-0.1915,0.0403
K3Y1Br4I2_icsd_015203_1,K3Y(IBr2)2,False,40,1777.71,-3.4402,-3.4256,-3.538,-0.1784,-0.2762,0.0408
Li1Y1Hg2Br8_icsd_166610_1,LiY(HgBr4)2,False,24,883.42,-2.7318,-2.6837,-2.846,-0.5495,-0.6638,0.0408
Li1B1Al1Br7_icsd_408562_5,LiAlBBr7,False,20,811.51,-3.1479,-3.073,-3.331,-0.3267,-0.5098,0.0409
Li2Y2Cl1Br7_icsd_100030_1,Li2Y2Br7Cl,False,48,1443.81,-3.817,-3.7881,-4.134,-0.802,-1.1191,0.0411
Na1Sc3I6S2_icsd_412467_1,NaSc3(SI3)2,False,24,906.85,-3.746,-3.8429,-4.226,-0.165,-0.6448,0.0412
K1Y1Hg2Br8_icsd_166610_1,KY(HgBr4)2,False,24,960.31,-2.818,-2.7527,-2.834,-0.6658,-0.6818,0.0413
Na1Sc1Zn1Br6_icsd_152300_5,NaScZnBr6,False,18,543.88,-3.3351,-3.3261,-3.34,-0.542,-0.5469,0.0413
K1Sc2Hg1Cl2Br7_icsd_071263_3,KSc2HgBr7Cl2,False,26,929.36,-2.979,-2.8462,-3.565,-0.138,-0.7241,0.0413
Na1Sc1La1Br7_icsd_024423_1,NaLaScBr7,False,40,1517.15,-3.9128,-3.9214,-4.003,-0.3978,-0.4879,0.0414
Li2Hf1Cl2Br4_icsd_201173_1,Li2Hf(Br2Cl)2,False,36,948.24,-3.943,-3.9374,-4.062,-0.338,-0.4566,0.0414
K1Y1La1Br7_icsd_060952_2,KLaYBr7,False,40,1630.98,-4.1199,-4.0918,-4.141,-0.8053,-0.8264,0.0414
Na3Hf1Br5I2_icsd_002335_1,Na3HfI2Br5,False,44,1676.86,-3.344,-3.3079,-3.506,-0.18,-0.3421,0.0415
K3Hf1Zn1Br9_icsd_039809_2,K3HfZnBr9,False,28,1083.47,-3.3536,-3.2608,-3.45,-0.5098,-0.6062,0.0417
Na2Y2Cl1Br7_icsd_079478_1,Na2Y2Br7Cl,False,24,907.46,-3.825,-3.8433,-4.052,-0.427,-0.6536,0.0418
K1Hf1Zn1Br6I1_icsd_159097_20,KHfZnIBr6,False,20,781.8,-3.185,-3.1146,-3.464,-0.32,-0.5997,0.0419
Li3Sc1Al1Br9_icsd_039809_2,Li3ScAlBr9,False,28,906.55,-3.1313,-3.1067,-3.556,-0.5011,-0.9258,0.042
Li3Y1Hg1Br8_icsd_040534_1,Li3YHgBr8,False,26,775.56,-3.2226,-3.2287,-3.268,-0.5718,-0.6172,0.042
Na1Sc1Hg1I6_icsd_152300_3,NaScHgI6,False,18,728.89,-2.6771,-2.6505,-2.665,-0.6012,-0.5892,0.042
Li3Y1Cd1Br8_icsd_040534_1,Li3YCdBr8,False,26,774.93,-3.3411,-3.3681,-3.409,-0.5482,-0.6162,0.0421
Na1Y2Hg1Br9_icsd_281502_1,NaY2HgBr9,False,26,1034.43,-3.4273,-3.3821,-3.577,-0.8827,-1.0324,0.0421
Na1Sc1Zn2F8_icsd_166610_1,NaScZn2F8,False,24,371.26,-4.8225,-4.8152,-4.912,-0.8682,-0.9578,0.0422
K2Y1Hg2Br8I1_icsd_422132_4,K2YHg2IBr8,False,28,1155.21,-2.586,-2.4908,-2.858,-0.143,-0.4144,0.0423
Na2Hg2Al1Br9_icsd_075583_1,Na2AlHg2Br9,False,28,991.57,-2.3829,-2.4068,-2.514,-0.2332,-0.3643,0.0424
K1Y1Zn1Br6_icsd_152300_5,KYZnBr6,False,18,647.75,-3.4901,-3.4831,-3.492,-0.9097,-0.9116,0.0426
Na1Y1Zn1Br6_icsd_152300_5,NaYZnBr6,False,18,573.99,-3.466,-3.4412,-3.453,-0.5999,-0.5868,0.0429
