id,reduced_comp,in_icsd,full_energyperatom,sc_decomp_energy,cond_ion_frac,oxidation,reduction,stability_window,reward
Na1Sc1F2Br2_icsd_075418_2,NaSc(BrF)2,False,-4.829,0.0769,0.1667,,,,0.2967
Li1Y2Br4I3_icsd_063489_1,LiY2I3Br4,False,-3.982,0.0769,0.1,,,,0.2874
Na2Sc2Br1I7_icsd_079478_1,Na2Sc2I7Br,False,-3.333,0.077,0.1667,,,,0.2966
Na4Sc1I7_icsd_603686_1,Na4ScI7,False,-2.951,0.0774,0.3333,,,,0.3661
K2Sc1Br4I1_icsd_202983_1,K2ScIBr4,False,-3.556,0.0777,0.25,,,,0.3082
Li2Hf1Cl1Br5_icsd_290265_1,Li2HfBr5Cl,False,-3.95,0.0777,0.2222,,,,0.3043
Na1Sc2Zn1Br7I2_icsd_098129_3,NaSc2ZnI2Br7,False,-3.462,0.0778,0.0769,,,,0.2841
K1Sc1Br3I1_icsd_001384_1,KScIBr3,False,-3.704,0.078,0.1667,,,,0.2966
Li1La1I4_icsd_033564_2,LiLaI4,False,-3.404,0.0781,0.1667,,,,0.2966
K1Sc1Cl2I2_icsd_075418_2,KSc(ICl)2,False,-3.822,0.0782,0.1667,,,,0.2966
Li3Cd1Al1Br8_icsd_040534_2,Li3AlCdBr8,False,-3.016,0.0783,0.2308,,,,0.3055
K1Sc1Hg1Br3I3_icsd_171662_1,KScHg(IBr)3,False,-2.919,0.0786,0.1111,,,,0.2888
Na2Sc3F9O1_icsd_024426_1,Na2Sc3OF9,False,-6.197,0.0787,0.1333,,,,0.2919
K1Sc1Y1Br5I2_icsd_412517_1,KYScI2Br5,False,-3.926,0.0788,0.1,,,,0.2873
K1Sc2Zn1Br7I2_icsd_098129_3,KSc2ZnI2Br7,False,-3.492,0.079,0.0769,,,,0.2841
K1Y2Ti1Br11_icsd_081223_1,KY2TiBr11,False,-3.975,0.0791,0.0667,,,,0.2826
Na2Y1Zn1Br7_icsd_093723_2,Na2YZnBr7,False,-3.346,0.0791,0.1818,,,,0.2986
K1Y2Br3O2_icsd_060667_1,KY2Br3O2,False,-5.875,0.0795,0.125,,,,0.2907
K2Sc1La1Br8_icsd_201623_1,K2LaScBr8,False,-3.851,0.0795,0.1667,,,,0.2965
K1Ti2Zn1F11_icsd_078867_1,KTi2ZnF11,False,-5.371,0.0795,0.0667,,,,0.2826
K1Y2Zn1Br7I2_icsd_098129_3,KY2ZnI2Br7,False,-3.665,0.0799,0.0769,,,,0.284
K1Sc1Al1Br7_icsd_060952_2,KScAlBr7,False,-3.582,0.08,0.1,,,,0.2872
K1Y3Cl6Br4_icsd_060959_1,KY3(Br2Cl3)2,False,-4.569,0.08,0.0714,,,,0.2833
Li1Sc2Ti1Br11_icsd_081223_1,LiSc2TiBr11,False,-3.762,0.0801,0.0667,,,,0.2826
Li1Sc2B1Br8I2_icsd_408052_1,LiSc2B(IBr4)2,False,-3.684,0.0805,0.0714,,,,0.2832
Na1Sc2Ti1I11_icsd_081223_1,NaSc2TiI11,False,-3.249,0.0805,0.0667,,,,0.2826
K1Y1Cd1Br4I2_icsd_083588_1,KYCd(IBr2)2,False,-3.28,0.0807,0.1111,,,,0.2887
K1Sc2Cd1Br7I2_icsd_071263_3,KSc2CdI2Br7,False,-3.456,0.0808,0.0769,,,,0.284
Na3B1Al1Br9_icsd_039809_2,Na3AlBBr9,False,-3.168,0.081,0.2143,,,,0.303
K3Cd1Al1Br8_icsd_069143_2,K3AlCdBr8,False,-2.963,0.0811,0.2308,,,,0.3053
Na1Y3Br6O2_icsd_412467_1,NaY3(Br3O)2,False,-5.361,0.0812,0.0833,,,,0.2848
K1Y2Sn1Br11_icsd_081223_1,KY2SnBr11,False,-3.686,0.0813,0.0667,,,,0.2825
Na1Sc2Cd1Br7I2_icsd_071263_3,NaSc2CdI2Br7,False,-3.424,0.0814,0.0769,,,,0.2839
K3Al1F2Br4_icsd_024840_1,K3Al(Br2F)2,False,-3.824,0.0814,0.3,,,,0.3566
Na1Sc1Cl2I2_icsd_075418_2,NaSc(ICl)2,False,-3.776,0.0814,0.1667,,,,0.2964
Li1Sc1La1Cl1Br6_icsd_159097_19,LiLaScBr6Cl,False,-4.095,0.0816,0.1,,,,0.2871
Na2Hf1Cl1Br5_icsd_085061_2,Na2HfBr5Cl,False,-3.821,0.0816,0.2222,,,,0.3041
Li2Y1Hf1Cl2Br7_icsd_071263_3,Li2YHfBr7Cl2,False,-4.145,0.0818,0.1538,,,,0.2946
K4Sc1Br7_icsd_603686_1,K4ScBr7,False,-3.454,0.0818,0.3333,,,,0.3658
Li4Y2Br8S1_icsd_002330_1,Li4Y2SBr8,False,-4.045,0.0819,0.2667,,,,0.3103
Li1Sc1La1Br6I1_icsd_159097_19,LiLaScIBr6,False,-3.942,0.082,0.1,,,,0.2871
Li1Sc2Al1Br8I2_icsd_422132_1,LiSc2Al(IBr4)2,False,-3.639,0.082,0.0714,,,,0.2831
Na1Sc1Zn2F7Br1_icsd_166998_2,NaScZn2BrF7,False,-4.677,0.0821,0.0833,,,,0.2848
K3Hg1Al1Br8_icsd_069143_2,K3AlHgBr8,False,-2.821,0.0827,0.2308,,,,0.3052
K1Hg1Al1Br6_icsd_068905_2,KAlHgBr6,False,-2.678,0.0829,0.1111,,,,0.2886
K1Sc2Zr1I11_icsd_081223_1,KZrSc2I11,False,-3.414,0.083,0.0667,,,,0.2824
Li2Y1W1Br11_icsd_081223_1,Li2YWBr11,False,-3.541,0.0831,0.1333,,,,0.2917
